name,category,kcal_100g,carb_100g,protein_100g,fat_100g,sodium_mg_100g,default_serving_g,aliases
흰쌀밥,rice,130,28.1,2.5,0.3,2,210,쌀밥|백미밥|공기밥|밥
잡곡밥,rice,140,29.0,3.5,0.8,4,210,오곡밥|혼합곡밥
현미밥,rice,150,32.0,3.0,1.2,3,210,현미
콩나물밥,rice,125,24.0,4.0,1.5,220,250,
볶음밥,rice,170,25.0,5.0,5.0,420,250,김치볶음밥|새우볶음밥
비빔밥,rice,130,20.0,5.0,3.5,380,350,전주비빔밥
김밥,rice,150,25.0,5.0,3.0,400,230,줄김밥
카레라이스,rice,120,20.0,3.0,3.0,300,350,카레|커리라이스
짜장밥,rice,140,22.0,4.0,4.0,420,350,
오므라이스,rice,150,22.0,5.5,4.5,380,350,
미역국,soup,25,2.0,2.0,1.0,300,250,소고기미역국
된장찌개,soup,45,4.0,3.5,1.8,600,250,된장국
김치찌개,soup,55,4.0,4.0,2.5,650,250,돼지고기김치찌개
순두부찌개,soup,60,3.0,5.0,3.0,600,250,순두부
콩나물국,soup,15,1.5,1.2,0.4,280,250,콩나물해장국
북엇국,soup,25,1.5,3.0,0.8,320,250,북어국
어묵국,soup,35,4.0,2.5,1.0,420,250,오뎅국
감자국,soup,30,4.0,1.2,0.9,300,250,감자된장국
소고기무국,soup,30,2.0,2.5,1.2,320,250,쇠고기무국|무국
떡국,soup,90,15.0,4.0,1.5,450,400,떡만둣국
갈비탕,soup,60,2.0,6.0,3.0,400,400,
삼계탕,soup,90,3.0,10.0,4.0,350,500,
육개장,soup,50,3.0,4.5,2.2,520,300,
부대찌개,soup,80,6.0,5.0,4.0,700,300,
청국장찌개,soup,55,5.0,4.5,2.0,600,250,청국장
계란국,soup,30,1.5,2.5,1.5,320,250,달걀국
유부국,soup,35,3.0,2.5,1.5,340,250,유부된장국
설렁탕,soup,45,1.0,5.0,2.5,300,400,곰탕
추어탕,soup,55,3.0,5.5,2.2,420,400,
아욱국,soup,25,2.5,1.8,0.8,300,250,근대국
제육볶음,main,200,8.0,14.0,12.0,600,120,돼지고기볶음|제육
돼지불고기,main,190,9.0,13.0,11.0,560,120,
소불고기,main,175,8.0,14.0,9.0,520,120,불고기|쇠고기불고기
닭갈비,main,170,8.0,14.0,9.0,540,150,춘천닭갈비
탕수육,main,230,25.0,10.0,10.0,300,120,
돈까스,main,250,20.0,13.0,13.0,450,150,돈가스|포크커틀렛
생선까스,main,230,20.0,12.0,11.0,420,120,생선가스
고등어구이,main,180,0.0,20.0,11.0,200,100,고등어조림
삼치구이,main,160,0.0,20.0,8.0,180,100,
갈치구이,main,150,0.0,18.0,8.0,190,100,갈치조림
코다리조림,main,120,5.0,16.0,3.0,520,120,
오징어볶음,main,120,8.0,14.0,3.0,480,120,오삼불고기
낙지볶음,main,110,8.0,12.0,3.0,480,120,
닭볶음탕,main,150,6.0,13.0,8.0,500,180,닭도리탕
찜닭,main,140,8.0,12.0,6.0,520,180,안동찜닭
계란말이,main,150,2.0,10.0,11.0,280,100,달걀말이
계란찜,main,95,2.0,9.0,5.5,300,120,달걀찜
두부조림,main,120,5.0,9.0,7.0,420,100,
두부부침,main,130,4.0,9.0,8.0,180,100,두부구이
햄버그스테이크,main,220,10.0,13.0,14.0,480,120,함박스테이크
소시지야채볶음,main,210,8.0,10.0,15.0,700,100,비엔나볶음
닭강정,main,240,25.0,14.0,10.0,450,120,양념치킨
순살치킨,main,230,15.0,17.0,12.0,420,120,후라이드치킨|치킨
미트볼조림,main,200,12.0,11.0,12.0,520,100,미트볼
동그랑땡,main,200,10.0,11.0,13.0,450,100,고기전|육원전
떡갈비,main,230,12.0,13.0,14.0,520,120,
목살스테이크,main,210,2.0,20.0,14.0,300,150,돼지목살구이
훈제오리,main,280,2.0,17.0,23.0,600,120,오리훈제|훈제오리구이
고추장불고기,main,185,10.0,13.0,10.0,580,120,
잡채,main,150,22.0,3.0,5.0,380,120,당면잡채
어묵볶음,main,140,15.0,8.0,5.0,620,80,오뎅볶음
감자조림,main,110,20.0,2.0,3.0,380,80,알감자조림
메추리알장조림,main,140,5.0,12.0,8.0,520,60,메추리알조림
장조림,main,130,4.0,15.0,6.0,600,60,소고기장조림
김치전,main,180,20.0,4.0,9.0,480,100,김치부침개
해물파전,main,190,20.0,6.0,9.0,420,120,파전|부침개
만두,main,210,25.0,8.0,8.0,450,120,물만두|찐만두
군만두,main,240,26.0,8.0,11.0,480,120,
새우튀김,main,240,22.0,12.0,12.0,340,80,
오징어튀김,main,230,22.0,11.0,11.0,340,80,
고구마튀김,main,230,30.0,2.0,11.0,120,80,야채튀김
생선전,main,190,12.0,14.0,9.0,360,80,동태전
불닭,main,200,10.0,16.0,10.0,700,120,매운닭볶음
치킨너겟,main,250,18.0,13.0,14.0,520,80,너겟
탕평채,main,110,18.0,3.0,2.5,320,100,
시금치나물,side,45,3.0,3.0,2.0,260,60,시금치무침
콩나물무침,side,40,3.0,3.0,2.0,280,60,콩나물
도라지무침,side,60,10.0,2.0,1.5,320,50,도라지생채
무생채,side,35,6.0,1.0,0.8,300,50,무채
오이무침,side,30,5.0,1.0,0.7,280,50,오이생채
숙주나물,side,35,3.0,2.5,1.5,240,60,숙주무침
취나물,side,50,4.0,3.0,2.5,260,60,
고사리나물,side,60,5.0,3.0,3.0,280,60,고사리무침
미역줄기볶음,side,70,6.0,2.0,4.0,420,50,
애호박볶음,side,50,5.0,1.5,2.5,280,60,호박볶음
가지볶음,side,60,6.0,1.5,3.0,300,60,가지무침
브로콜리무침,side,45,5.0,3.0,1.5,220,60,브로콜리
양배추샐러드,side,90,8.0,1.5,6.0,180,70,코울슬로
마카로니샐러드,side,180,20.0,3.0,9.0,260,70,
감자샐러드,side,150,18.0,2.5,7.0,240,70,
단무지,side,20,4.0,0.4,0.1,600,30,
멸치볶음,side,200,15.0,25.0,6.0,900,25,잔멸치볶음
진미채무침,side,210,25.0,20.0,4.0,900,30,오징어채무침
김자반,side,300,20.0,25.0,15.0,1200,15,김무침
조미김,side,500,10.0,30.0,40.0,900,8,구운김|김
연근조림,side,120,22.0,2.0,2.5,420,50,
우엉조림,side,110,20.0,2.0,2.0,400,50,
콘샐러드,side,110,16.0,3.0,4.0,220,60,옥수수샐러드
견과류,side,600,20.0,18.0,52.0,10,20,아몬드|호두|땅콩
배추김치,kimchi,30,4.0,1.5,0.5,700,40,포기김치|김치
깍두기,kimchi,35,6.0,1.2,0.3,650,40,
총각김치,kimchi,32,5.0,1.5,0.4,680,40,알타리김치
열무김치,kimchi,25,3.5,1.5,0.3,600,40,
오이소박이,kimchi,30,4.0,1.3,0.4,620,40,
백김치,kimchi,20,3.0,1.0,0.2,400,40,
갓김치,kimchi,35,4.5,1.8,0.5,700,40,
요구르트,dessert,65,12.0,1.5,1.0,40,65,야쿠르트
우유,dessert,60,4.7,3.2,3.3,45,200,흰우유|저지방우유
바나나,dessert,93,23.0,1.2,0.2,1,120,
사과,dessert,57,14.0,0.3,0.2,1,150,
오렌지,dessert,47,12.0,0.9,0.1,0,150,
방울토마토,dessert,18,4.0,0.9,0.2,5,100,토마토
수박,dessert,30,8.0,0.6,0.2,1,200,
딸기,dessert,33,8.0,0.7,0.3,1,100,
포도,dessert,60,16.0,0.6,0.2,2,100,
배,dessert,51,13.0,0.3,0.1,1,150,
귤,dessert,45,12.0,0.7,0.1,1,100,감귤
파인애플,dessert,50,13.0,0.5,0.1,1,100,
식혜,dessert,50,12.0,0.2,0.1,20,180,
요플레,dessert,90,15.0,3.5,2.0,50,85,떠먹는요구르트
아이스크림,dessert,200,24.0,3.5,10.0,80,100,
초코파이,dessert,430,60.0,4.0,19.0,200,35,
백설기,dessert,230,50.0,4.0,0.5,120,80,
절편,dessert,220,50.0,4.0,0.4,120,80,가래떡
약과,dessert,430,60.0,3.0,19.0,150,30,
호상요구르트,dessert,85,14.0,3.0,2.0,45,100,
두유,dessert,55,5.0,3.5,2.5,40,190,
